,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2
,AW,AW,AW,AW,AW,AW,AW,AW,AA,AA,AA,AA,AA,AA,AA,AA,AASH,AASH,AASH,AASH,AASH,AASH,AASH,AASH,EL,EL,EL,EL,EL,EL,EL,EL
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,731,1198,1754,2630,622,1021,1494,2241,699,1545,2093,2415,595,1316,1783,2057,83,184,249,288,71,157,213,245,850,708,37,42,724,603,31,36
h1vmba2uEV21,11691,19173,28058,42087,9959,16333,23901,35852,11178,24725,33482,38633,9522,21062,28522,32910,1332,2947,3991,4605,1135,2511,3400,3923,4863,4053,211,243,4143,3452,180,207
h1vmba3uEV21,2192,3595,5261,7891,1867,3062,4481,6722,2096,4636,6278,7244,1785,3949,5348,6171,250,553,748,864,213,471,638,736,1881,1568,82,94,1603,1335,69,80
h2vmba1uEV21,1003,1645,2408,3611,855,1401,2051,3076,959,2122,2873,3315,817,1807,2447,2824,114,253,342,395,97,215,292,337,2759,2299,120,138,2350,1959,102,118
h2vmba2uEV21,16050,26323,38521,57781,13673,22423,32814,49221,15346,33945,45967,53039,13073,28916,39157,45182,1829,4047,5480,6323,1558,3447,4668,5386,15791,13160,684,790,13452,11210,583,673
h2vmba3uEV21,3009,4935,7223,10834,2564,4204,6153,9229,2877,6365,8619,9945,2451,5422,7342,8472,343,759,1027,1186,292,646,875,1010,6108,5090,265,305,5203,4336,225,260
h1v0ba1uEV21,225,369,540,810,192,314,460,690,215,476,644,744,183,405,549,633,26,57,77,89,22,48,65,76,5348,4456,232,267,4555,3796,197,228
h1v0ba2uEV21,3600,5905,8641,12962,3067,5030,7361,11041,3442,7615,10312,11898,2932,6487,8784,10135,410,908,1229,1418,350,773,1047,1208,30606,25505,1326,1530,26072,21726,1130,1304
h1v0ba3uEV21,675,1107,1620,2430,575,943,1380,2070,645,1428,1933,2231,550,1216,1647,1900,77,170,230,266,66,145,196,227,11839,9866,513,592,10085,8404,437,504
h2v0ba1uEV21,1416,2322,3399,5098,1206,1978,2895,4343,1354,2995,4056,4680,1153,2551,3455,3986,161,357,483,558,137,304,412,475,3732,3110,162,187,3179,2649,138,159
h2v0ba2uEV21,22658,37160,54380,81570,19302,31655,46324,69486,21664,47920,64892,74876,18455,40821,55279,63783,2583,5713,7736,8926,2200,4866,6590,7603,21360,17800,926,1068,18196,15163,788,910
h2v0ba3uEV21,4248,6967,10196,15294,3619,5935,8686,13029,4062,8985,12167,14039,3460,7654,10365,11959,484,1071,1450,1674,412,912,1236,1426,8262,6885,358,413,7038,5865,305,352
A1vmba1uEV11,0,0,0,0,0,0,0,0,466,1030,1395,1610,397,878,1188,1371,21,46,62,72,18,39,53,61,364,303,16,18,310,259,13,16
A1vmba2uEV11,0,0,0,0,0,0,0,0,7452,16483,22321,25755,6348,14041,19014,21940,333,737,998,1151,284,628,850,981,2084,1737,90,104,1776,1480,77,89
A1vmba3uEV11,0,0,0,0,0,0,0,0,1397,3091,4185,4829,1190,2633,3565,4114,62,138,187,216,53,118,159,184,806,672,35,40,687,572,30,34
A2vmba1uEV11,0,0,0,0,0,0,0,0,639,1414,1915,2210,545,1205,1632,1883,29,63,86,99,24,54,73,84,1182,985,51,59,1007,839,44,50
A2vmba2uEV11,0,0,0,0,0,0,0,0,10231,22630,30645,35359,8715,19277,26105,30121,457,1012,1370,1581,390,862,1167,1347,6768,5640,293,338,5765,4804,250,288
A2vmba3uEV11,0,0,0,0,0,0,0,0,1918,4243,5746,6630,1634,3615,4895,5648,86,190,257,296,73,162,219,252,2618,2182,113,131,2230,1858,97,112
A1v0ba1uEV11,0,0,0,0,0,0,0,0,143,317,430,496,122,270,366,422,6,14,19,22,5,12,16,19,2292,1910,99,115,1952,1627,85,98
A1v0ba2uEV11,0,0,0,0,0,0,0,0,2295,5076,6874,7932,1955,4324,5856,6757,103,227,307,355,87,193,262,302,13117,10931,568,656,11174,9311,484,559
A1v0ba3uEV11,0,0,0,0,0,0,0,0,430,952,1289,1487,367,811,1098,1267,19,43,58,66,16,36,49,57,5074,4228,220,254,4322,3602,187,216
A2v0ba1uEV11,0,0,0,0,0,0,0,0,903,1997,2704,3120,769,1701,2303,2658,40,89,121,139,34,76,103,119,1599,1333,69,80,1362,1135,59,68
A2v0ba2uEV11,0,0,0,0,0,0,0,0,14443,31947,43261,49917,12303,27214,36852,42522,646,1428,1934,2231,550,1217,1647,1901,9154,7629,397,458,7798,6498,338,390
A2v0ba3uEV11,0,0,0,0,0,0,0,0,2708,5990,8112,9359,2307,5103,6910,7973,121,268,363,418,103,228,309,356,3541,2951,153,177,3016,2514,131,151
